Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner,Car_Age,Price_Ratio
dzire,2014,5.5,8.06,45000,Diesel,Dealer,Manual,0,12,0.6823821339950372
sx4,2011,2.95,7.74,49998,CNG,Dealer,Manual,0,15,0.38113695090439276
dzire,2015,4.65,7.2,48767,Petrol,Dealer,Manual,0,11,0.6458333333333334
800,2003,0.35,2.28,127000,Petrol,Individual,Manual,0,23,0.15350877192982457
alto k10,2016,3.0,3.76,10079,Petrol,Dealer,Manual,0,10,0.797872340425532
sx4,2003,2.25,7.98,62000,Petrol,Dealer,Manual,0,23,0.2819548872180451
baleno,2016,5.85,7.87,24524,Petrol,Dealer,Automatic,0,10,0.7433290978398983
alto k10,2014,2.55,3.98,46706,Petrol,Dealer,Manual,0,12,0.6407035175879396
sx4,2008,1.95,7.15,58000,Petrol,Dealer,Manual,0,18,0.2727272727272727
dzire,2014,5.5,8.06,45780,Diesel,Dealer,Manual,0,12,0.6823821339950372
omni,2012,1.25,2.69,50000,Petrol,Dealer,Manual,0,14,0.4646840148698885
ciaz,2014,7.5,12.04,15000,Petrol,Dealer,Automatic,0,12,0.6229235880398671
ritz,2013,2.65,4.89,64532,Petrol,Dealer,Manual,0,13,0.5419222903885481
wagon r,2006,1.05,4.15,65000,Petrol,Dealer,Manual,0,20,0.25301204819277107
ertiga,2015,5.8,7.71,25870,Petrol,Dealer,Manual,0,11,0.7522697795071336
ciaz,2017,7.75,9.29,37000,Petrol,Dealer,Automatic,0,9,0.8342303552206675
fortuner,2012,14.9,30.61,104707,Diesel,Dealer,Automatic,0,14,0.4867690297288468
fortuner,2015,23.0,30.61,40000,Diesel,Dealer,Automatic,0,11,0.7513884351519111
innova,2017,18.0,19.77,15000,Diesel,Dealer,Automatic,0,9,0.9104704097116844
fortuner,2013,16.0,30.61,135000,Diesel,Individual,Automatic,0,13,0.5227049983665469
innova,2005,2.75,10.21,90000,Petrol,Individual,Manual,0,21,0.2693437806072478
corolla altis,2009,3.6,15.04,70000,Petrol,Dealer,Automatic,0,17,0.2393617021276596
etios cross,2015,4.5,7.27,40534,Petrol,Dealer,Manual,0,11,0.6189821182943605
corolla altis,2010,4.75,18.54,50000,Petrol,Dealer,Manual,0,16,0.2562028047464941
etios g,2014,4.1,6.8,39485,Petrol,Dealer,Manual,1,12,0.6029411764705882
fortuner,2014,19.99,35.96,41000,Diesel,Dealer,Automatic,0,12,0.5558954393770856
corolla altis,2013,6.95,18.61,40001,Petrol,Dealer,Manual,0,13,0.3734551316496508
etios cross,2015,4.5,7.7,40588,Petrol,Dealer,Manual,0,11,0.5844155844155844
fortuner,2014,18.75,35.96,78000,Diesel,Dealer,Automatic,0,12,0.521412680756396
fortuner,2015,23.5,35.96,47000,Diesel,Dealer,Automatic,0,11,0.6535038932146829
fortuner,2017,33.0,36.23,6000,Diesel,Dealer,Automatic,0,9,0.9108473640629313
etios liva,2014,4.75,6.95,45000,Diesel,Dealer,Manual,0,12,0.6834532374100719
innova,2017,19.75,23.15,11000,Petrol,Dealer,Automatic,0,9,0.8531317494600432
fortuner,2010,9.25,20.45,59000,Diesel,Dealer,Manual,0,16,0.4523227383863081
corolla altis,2011,4.35,13.74,88000,Petrol,Dealer,Manual,0,15,0.31659388646288206
corolla altis,2016,14.25,20.91,12000,Petrol,Dealer,Manual,0,10,0.6814921090387375
etios liva,2014,3.95,6.76,71000,Diesel,Dealer,Manual,0,12,0.584319526627219
corolla altis,2011,4.5,12.48,45000,Diesel,Dealer,Manual,0,15,0.3605769230769231
corolla altis,2013,7.45,18.61,56001,Petrol,Dealer,Manual,0,13,0.400322407307899
etios liva,2011,2.65,5.71,43000,Petrol,Dealer,Manual,0,15,0.46409807355516636
etios cross,2014,4.9,8.93,83000,Diesel,Dealer,Manual,0,12,0.5487122060470325
etios g,2015,3.95,6.8,36000,Petrol,Dealer,Manual,0,11,0.5808823529411765
corolla altis,2013,5.5,14.68,72000,Petrol,Dealer,Manual,0,13,0.3746594005449591
corolla,2004,1.5,12.35,135154,Petrol,Dealer,Automatic,0,22,0.12145748987854252
corolla altis,2010,5.25,22.83,80000,Petrol,Dealer,Automatic,0,16,0.2299605781865966
fortuner,2012,14.5,30.61,89000,Diesel,Dealer,Automatic,0,14,0.47370140476968314
corolla altis,2016,14.73,14.89,23000,Diesel,Dealer,Manual,0,10,0.9892545332437878
etios gd,2015,4.75,7.85,40000,Diesel,Dealer,Manual,0,11,0.6050955414012739
innova,2017,23.0,25.39,15000,Diesel,Dealer,Automatic,0,9,0.9058684521465143
innova,2015,12.5,13.46,38000,Diesel,Dealer,Manual,0,11,0.9286775631500742
innova,2005,3.49,13.46,197176,Diesel,Dealer,Manual,0,21,0.25928677563150077
camry,2006,2.5,23.73,142000,Petrol,Individual,Automatic,3,20,0.10535187526337969
land cruiser,2010,35.0,92.6,78000,Diesel,Dealer,Manual,0,16,0.3779697624190065
corolla altis,2012,5.9,13.74,56000,Petrol,Dealer,Manual,0,14,0.42940320232896656
etios liva,2013,3.45,6.05,47000,Petrol,Dealer,Manual,0,13,0.5702479338842976
etios g,2014,4.75,6.76,40000,Petrol,Dealer,Manual,0,12,0.7026627218934911
corolla altis,2009,3.8,18.61,62000,Petrol,Dealer,Manual,0,17,0.20419129500268673
innova,2014,11.25,16.09,58242,Diesel,Dealer,Manual,0,12,0.6991920447482909
innova,2005,3.51,13.7,75000,Petrol,Dealer,Manual,0,21,0.2562043795620438
corolla altis,2008,4.0,22.78,89000,Petrol,Dealer,Automatic,0,18,0.17559262510974538
corolla altis,2012,5.85,18.61,72000,Petrol,Dealer,Manual,0,14,0.31434712520150454
innova,2016,20.75,25.39,29000,Diesel,Dealer,Automatic,0,10,0.8172508861756597
corolla altis,2017,17.0,18.64,8700,Petrol,Dealer,Manual,0,9,0.9120171673819742
corolla altis,2013,7.05,18.61,45000,Petrol,Dealer,Manual,0,13,0.3788285867813004
fortuner,2010,9.65,20.45,50024,Diesel,Dealer,Manual,0,16,0.4718826405867971
Royal Enfield Thunder 500,2016,1.75,1.9,3000,Petrol,Individual,Manual,0,10,0.9210526315789475
UM Renegade Mojave,2017,1.7,1.82,1400,Petrol,Individual,Manual,0,9,0.934065934065934
KTM RC200,2017,1.65,1.78,4000,Petrol,Individual,Manual,0,9,0.9269662921348314
Bajaj Dominar 400,2017,1.45,1.6,1200,Petrol,Individual,Manual,0,9,0.9062499999999999
Royal Enfield Classic 350,2017,1.35,1.47,4100,Petrol,Individual,Manual,0,9,0.9183673469387756
KTM RC390,2015,1.35,2.37,21700,Petrol,Individual,Manual,0,11,0.569620253164557
Hyosung GT250R,2014,1.35,3.45,16500,Petrol,Individual,Manual,1,12,0.391304347826087
Royal Enfield Thunder 350,2013,1.25,1.5,15000,Petrol,Individual,Manual,0,13,0.8333333333333334
Royal Enfield Thunder 350,2016,1.2,1.5,18000,Petrol,Individual,Manual,0,10,0.7999999999999999
Royal Enfield Classic 350,2017,1.2,1.47,11000,Petrol,Individual,Manual,0,9,0.8163265306122449
KTM RC200,2016,1.2,1.78,6000,Petrol,Individual,Manual,0,10,0.6741573033707865
Royal Enfield Thunder 350,2016,1.15,1.5,8700,Petrol,Individual,Manual,0,10,0.7666666666666666
KTM 390 Duke ,2014,1.15,2.4,7000,Petrol,Individual,Manual,0,12,0.47916666666666663
Mahindra Mojo XT300,2016,1.15,1.4,35000,Petrol,Individual,Manual,0,10,0.8214285714285714
Royal Enfield Classic 350,2015,1.15,1.47,17000,Petrol,Individual,Manual,0,11,0.782312925170068
Royal Enfield Classic 350,2015,1.11,1.47,17500,Petrol,Individual,Manual,0,11,0.7551020408163266
Royal Enfield Classic 350,2013,1.1,1.47,33000,Petrol,Individual,Manual,0,13,0.7482993197278912
Royal Enfield Thunder 500,2015,1.1,1.9,14000,Petrol,Individual,Manual,0,11,0.5789473684210527
Royal Enfield Classic 350,2015,1.1,1.47,26000,Petrol,Individual,Manual,0,11,0.7482993197278912
Royal Enfield Thunder 500,2013,1.05,1.9,5400,Petrol,Individual,Manual,0,13,0.5526315789473685
Bajaj Pulsar RS200,2016,1.05,1.26,5700,Petrol,Individual,Manual,0,10,0.8333333333333334
Royal Enfield Thunder 350,2011,1.05,1.5,6900,Petrol,Individual,Manual,0,15,0.7000000000000001
Royal Enfield Bullet 350,2016,1.05,1.17,6000,Petrol,Individual,Manual,0,10,0.8974358974358976
Royal Enfield Classic 350,2013,1.0,1.47,46500,Petrol,Individual,Manual,0,13,0.6802721088435374
Royal Enfield Classic 500,2012,0.95,1.75,11500,Petrol,Individual,Manual,0,14,0.5428571428571428
Royal Enfield Classic 500,2009,0.9,1.75,40000,Petrol,Individual,Manual,0,17,0.5142857142857143
Bajaj Avenger 220,2017,0.9,0.95,1300,Petrol,Individual,Manual,0,9,0.9473684210526316
Bajaj Avenger 150,2016,0.75,0.8,7000,Petrol,Individual,Manual,0,10,0.9375
Honda CB Hornet 160R,2017,0.8,0.87,3000,Petrol,Individual,Manual,0,9,0.9195402298850576
Yamaha FZ S V 2.0,2017,0.78,0.84,5000,Petrol,Individual,Manual,0,9,0.9285714285714286
Honda CB Hornet 160R,2017,0.75,0.87,11000,Petrol,Individual,Manual,0,9,0.8620689655172414
Yamaha FZ 16,2015,0.75,0.82,18000,Petrol,Individual,Manual,0,11,0.9146341463414634
Bajaj Avenger 220,2017,0.75,0.95,3500,Petrol,Individual,Manual,0,9,0.7894736842105263
Bajaj Avenger 220,2016,0.72,0.95,500,Petrol,Individual,Manual,0,10,0.7578947368421053
TVS Apache RTR 160,2017,0.65,0.81,11800,Petrol,Individual,Manual,0,9,0.8024691358024691
Bajaj Pulsar 150,2015,0.65,0.74,5000,Petrol,Individual,Manual,0,11,0.8783783783783784
Honda CBR 150,2014,0.65,1.2,23500,Petrol,Individual,Manual,0,12,0.5416666666666667
Hero Extreme,2013,0.65,0.787,16000,Petrol,Individual,Manual,0,13,0.8259212198221093
Honda CB Hornet 160R,2016,0.6,0.87,15000,Petrol,Individual,Manual,0,10,0.689655172413793
Bajaj Avenger 220 dtsi,2015,0.6,0.95,16600,Petrol,Individual,Manual,0,11,0.631578947368421
Honda CBR 150,2013,0.6,1.2,32000,Petrol,Individual,Manual,0,13,0.5
Bajaj Avenger 150 street,2016,0.6,0.8,20000,Petrol,Individual,Manual,0,10,0.7499999999999999
Yamaha FZ  v 2.0,2015,0.6,0.84,29000,Petrol,Individual,Manual,0,11,0.7142857142857143
Yamaha FZ  v 2.0,2016,0.6,0.84,25000,Petrol,Individual,Manual,0,10,0.7142857142857143
Bajaj Pulsar  NS 200,2014,0.6,0.99,25000,Petrol,Individual,Manual,0,12,0.6060606060606061
TVS Apache RTR 160,2012,0.6,0.81,19000,Petrol,Individual,Manual,0,14,0.7407407407407407
Hero Extreme,2014,0.55,0.787,15000,Petrol,Individual,Manual,0,12,0.6988564167725541
Yamaha FZ S V 2.0,2015,0.55,0.84,58000,Petrol,Individual,Manual,0,11,0.6547619047619049
Bajaj Pulsar 220 F,2010,0.52,0.94,45000,Petrol,Individual,Manual,0,16,0.5531914893617021
Bajaj Pulsar 220 F,2016,0.51,0.94,24000,Petrol,Individual,Manual,0,10,0.5425531914893618
TVS Apache RTR 180,2011,0.5,0.826,6000,Petrol,Individual,Manual,0,15,0.6053268765133172
Hero Passion X pro,2016,0.5,0.55,31000,Petrol,Individual,Manual,0,10,0.9090909090909091
Bajaj Pulsar NS 200,2012,0.5,0.99,13000,Petrol,Individual,Manual,0,14,0.5050505050505051
Bajaj Pulsar NS 200,2013,0.5,0.99,45000,Petrol,Individual,Manual,0,13,0.5050505050505051
Yamaha Fazer ,2014,0.5,0.88,8000,Petrol,Individual,Manual,0,12,0.5681818181818182
Honda Activa 4G,2017,0.48,0.51,4300,Petrol,Individual,Automatic,0,9,0.9411764705882353
TVS Sport ,2017,0.48,0.52,15000,Petrol,Individual,Manual,0,9,0.923076923076923
Yamaha FZ S V 2.0,2015,0.48,0.84,23000,Petrol,Individual,Manual,0,11,0.5714285714285714
Honda Dream Yuga ,2017,0.48,0.54,8600,Petrol,Individual,Manual,0,9,0.8888888888888888
Honda Activa 4G,2017,0.45,0.51,4000,Petrol,Individual,Automatic,0,9,0.8823529411764706
Bajaj Avenger Street 220,2011,0.45,0.95,24000,Petrol,Individual,Manual,0,15,0.4736842105263158
TVS Apache RTR 180,2014,0.45,0.826,23000,Petrol,Individual,Manual,0,12,0.5447941888619855
Bajaj Pulsar NS 200,2012,0.45,0.99,14500,Petrol,Individual,Manual,0,14,0.4545454545454546
Bajaj Avenger 220 dtsi,2010,0.45,0.95,27000,Petrol,Individual,Manual,0,16,0.4736842105263158
Hero Splender iSmart,2016,0.45,0.54,14000,Petrol,Individual,Manual,0,10,0.8333333333333333
Activa 3g,2016,0.45,0.54,500,Petrol,Individual,Automatic,0,10,0.8333333333333333
Hero Passion Pro,2016,0.45,0.55,1000,Petrol,Individual,Manual,0,10,0.8181818181818181
TVS Apache RTR 160,2014,0.42,0.81,42000,Petrol,Individual,Manual,0,12,0.5185185185185185
Honda CB Trigger,2013,0.42,0.73,12000,Petrol,Individual,Manual,0,13,0.5753424657534246
Hero Splender iSmart,2015,0.4,0.54,14000,Petrol,Individual,Manual,0,11,0.7407407407407407
Yamaha FZ S ,2012,0.4,0.83,5500,Petrol,Individual,Manual,0,14,0.48192771084337355
Hero Passion Pro,2015,0.4,0.55,6700,Petrol,Individual,Manual,0,11,0.7272727272727273
Bajaj Pulsar 135 LS,2014,0.4,0.64,13700,Petrol,Individual,Manual,0,12,0.625
Activa 4g,2017,0.4,0.51,1300,Petrol,Individual,Automatic,0,9,0.7843137254901961
Honda CB Unicorn,2015,0.38,0.72,38600,Petrol,Individual,Manual,0,11,0.5277777777777778
Hero Honda CBZ extreme,2011,0.38,0.787,75000,Petrol,Individual,Manual,0,15,0.48284625158831
Honda Karizma,2011,0.35,1.05,30000,Petrol,Individual,Manual,0,15,0.3333333333333333
Honda Activa 125,2016,0.35,0.57,24000,Petrol,Individual,Automatic,0,10,0.6140350877192983
TVS Jupyter,2014,0.35,0.52,19000,Petrol,Individual,Automatic,0,12,0.673076923076923
Honda Karizma,2010,0.31,1.05,213000,Petrol,Individual,Manual,0,16,0.29523809523809524
Hero Honda Passion Pro,2012,0.3,0.51,60000,Petrol,Individual,Manual,0,14,0.5882352941176471
Hero Splender Plus,2016,0.3,0.48,50000,Petrol,Individual,Manual,0,10,0.625
Honda CB Shine,2013,0.3,0.58,30000,Petrol,Individual,Manual,0,13,0.5172413793103449
Bajaj Discover 100,2013,0.27,0.47,21000,Petrol,Individual,Manual,0,13,0.574468085106383
Bajaj Pulsar 150,2008,0.25,0.75,26000,Petrol,Individual,Manual,1,18,0.3333333333333333
Suzuki Access 125,2008,0.25,0.58,1900,Petrol,Individual,Automatic,0,18,0.4310344827586207
TVS Wego,2010,0.25,0.52,22000,Petrol,Individual,Automatic,0,16,0.4807692307692307
Honda CB twister,2013,0.25,0.51,32000,Petrol,Individual,Manual,0,13,0.49019607843137253
Hero Glamour,2013,0.25,0.57,18000,Petrol,Individual,Manual,0,13,0.4385964912280702
Hero Super Splendor,2005,0.2,0.57,55000,Petrol,Individual,Manual,0,21,0.3508771929824562
Bajaj Pulsar 150,2008,0.2,0.75,60000,Petrol,Individual,Manual,0,18,0.26666666666666666
Bajaj Discover 125,2012,0.2,0.57,25000,Petrol,Individual,Manual,1,14,0.3508771929824562
Hero Hunk,2007,0.2,0.75,49000,Petrol,Individual,Manual,1,19,0.26666666666666666
Hero  Ignitor Disc,2013,0.2,0.65,24000,Petrol,Individual,Manual,1,13,0.3076923076923077
Hero  CBZ Xtreme,2008,0.2,0.787,50000,Petrol,Individual,Manual,0,18,0.25412960609911056
Bajaj  ct 100,2015,0.18,0.32,35000,Petrol,Individual,Manual,0,11,0.5625
Activa 3g,2008,0.17,0.52,500000,Petrol,Individual,Automatic,0,18,0.3269230769230769
Honda CB twister,2010,0.16,0.51,33000,Petrol,Individual,Manual,0,16,0.3137254901960784
Bajaj Discover 125,2011,0.15,0.57,35000,Petrol,Individual,Manual,1,15,0.2631578947368421
Honda CB Shine,2007,0.12,0.58,53000,Petrol,Individual,Manual,0,19,0.20689655172413793
Bajaj Pulsar 150,2006,0.1,0.75,92233,Petrol,Individual,Manual,0,20,0.13333333333333333
i20,2010,3.25,6.79,58000,Diesel,Dealer,Manual,1,16,0.4786450662739323
grand i10,2015,4.4,5.7,28200,Petrol,Dealer,Manual,0,11,0.7719298245614036
i10,2011,2.95,4.6,53460,Petrol,Dealer,Manual,0,15,0.641304347826087
eon,2015,2.75,4.43,28282,Petrol,Dealer,Manual,0,11,0.6207674943566592
grand i10,2016,5.25,5.7,3493,Petrol,Dealer,Manual,1,10,0.9210526315789473
xcent,2017,5.75,7.13,12479,Petrol,Dealer,Manual,0,9,0.8064516129032259
grand i10,2015,5.15,5.7,34797,Petrol,Dealer,Automatic,0,11,0.9035087719298246
i20,2017,7.9,8.1,3435,Petrol,Dealer,Manual,0,9,0.9753086419753088
grand i10,2015,4.85,5.7,21125,Diesel,Dealer,Manual,0,11,0.850877192982456
i10,2012,3.1,4.6,35775,Petrol,Dealer,Manual,0,14,0.673913043478261
elantra,2015,11.75,14.79,43535,Diesel,Dealer,Manual,0,11,0.7944557133198107
creta,2016,11.25,13.6,22671,Petrol,Dealer,Manual,0,10,0.8272058823529412
i20,2011,2.9,6.79,31604,Petrol,Dealer,Manual,0,15,0.4270986745213549
grand i10,2017,5.25,5.7,20114,Petrol,Dealer,Manual,0,9,0.9210526315789473
verna,2012,4.5,9.4,36100,Petrol,Dealer,Manual,0,14,0.4787234042553191
eon,2016,2.9,4.43,12500,Petrol,Dealer,Manual,0,10,0.654627539503386
eon,2016,3.15,4.43,15000,Petrol,Dealer,Manual,0,10,0.7110609480812642
verna,2014,6.45,9.4,45078,Petrol,Dealer,Manual,0,12,0.6861702127659575
verna,2012,4.5,9.4,36000,Petrol,Dealer,Manual,0,14,0.4787234042553191
eon,2017,3.5,4.43,38488,Petrol,Dealer,Manual,0,9,0.7900677200902935
i20,2013,4.5,6.79,32000,Petrol,Dealer,Automatic,0,13,0.6627393225331369
i20,2014,6.0,7.6,77632,Diesel,Dealer,Manual,0,12,0.7894736842105263
verna,2015,8.25,9.4,61381,Diesel,Dealer,Manual,0,11,0.8776595744680851
verna,2013,5.11,9.4,36198,Petrol,Dealer,Automatic,0,13,0.5436170212765957
i10,2011,2.7,4.6,22517,Petrol,Dealer,Manual,0,15,0.5869565217391305
grand i10,2015,5.25,5.7,24678,Petrol,Dealer,Manual,0,11,0.9210526315789473
i10,2011,2.55,4.43,57000,Petrol,Dealer,Manual,0,15,0.5756207674943566
verna,2012,4.95,9.4,60000,Diesel,Dealer,Manual,0,14,0.526595744680851
i20,2012,3.1,6.79,52132,Diesel,Dealer,Manual,0,14,0.4565537555228277
verna,2013,6.15,9.4,45000,Diesel,Dealer,Manual,0,13,0.6542553191489362
verna,2017,9.25,9.4,15001,Petrol,Dealer,Manual,0,9,0.9840425531914894
elantra,2015,11.45,14.79,12900,Petrol,Dealer,Automatic,0,11,0.7741717376605814
grand i10,2013,3.9,5.7,53000,Diesel,Dealer,Manual,0,13,0.6842105263157895
grand i10,2015,5.5,5.7,4492,Petrol,Dealer,Manual,0,11,0.9649122807017544
verna,2017,9.1,9.4,15141,Petrol,Dealer,Manual,0,9,0.9680851063829786
eon,2016,3.1,4.43,11849,Petrol,Dealer,Manual,0,10,0.6997742663656885
creta,2015,11.25,13.6,68000,Diesel,Dealer,Manual,0,11,0.8272058823529412
verna,2013,4.8,9.4,60241,Petrol,Dealer,Manual,0,13,0.5106382978723404
eon,2012,2.0,4.43,23709,Petrol,Dealer,Manual,0,14,0.4514672686230249
verna,2012,5.35,9.4,32322,Diesel,Dealer,Manual,0,14,0.5691489361702127
xcent,2015,4.75,7.13,35866,Petrol,Dealer,Manual,1,11,0.6661991584852736
xcent,2014,4.4,7.13,34000,Petrol,Dealer,Manual,0,12,0.6171107994389903
i20,2016,6.25,7.6,7000,Petrol,Dealer,Manual,0,10,0.8223684210526316
verna,2013,5.95,9.4,49000,Diesel,Dealer,Manual,0,13,0.6329787234042553
verna,2012,5.2,9.4,71000,Diesel,Dealer,Manual,0,14,0.5531914893617021
i20,2012,3.75,6.79,35000,Petrol,Dealer,Manual,0,14,0.5522827687776142
verna,2015,5.95,9.4,36000,Petrol,Dealer,Manual,0,11,0.6329787234042553
i10,2013,4.0,4.6,30000,Petrol,Dealer,Manual,0,13,0.8695652173913044
i20,2016,5.25,7.6,17000,Petrol,Dealer,Manual,0,10,0.6907894736842105
creta,2016,12.9,13.6,35934,Diesel,Dealer,Manual,0,10,0.948529411764706
city,2013,5.0,9.9,56701,Petrol,Dealer,Manual,0,13,0.5050505050505051
brio,2015,5.4,6.82,31427,Petrol,Dealer,Automatic,0,11,0.7917888563049854
city,2014,7.2,9.9,48000,Diesel,Dealer,Manual,0,12,0.7272727272727273
city,2013,5.25,9.9,54242,Petrol,Dealer,Manual,0,13,0.5303030303030303
brio,2012,3.0,5.35,53675,Petrol,Dealer,Manual,0,14,0.5607476635514019
city,2016,10.25,13.6,49562,Petrol,Dealer,Manual,0,10,0.7536764705882353
city,2015,8.5,13.6,40324,Petrol,Dealer,Manual,0,11,0.625
city,2015,8.4,13.6,25000,Petrol,Dealer,Manual,0,11,0.6176470588235294
amaze,2014,3.9,7.0,36054,Petrol,Dealer,Manual,0,12,0.5571428571428572
city,2016,9.15,13.6,29223,Petrol,Dealer,Manual,0,10,0.6727941176470589
brio,2016,5.5,5.97,5600,Petrol,Dealer,Manual,0,10,0.9212730318257957
amaze,2015,4.0,5.8,40023,Petrol,Dealer,Manual,0,11,0.6896551724137931
jazz,2016,6.6,7.7,16002,Petrol,Dealer,Manual,0,10,0.8571428571428571
amaze,2015,4.0,7.0,40026,Petrol,Dealer,Manual,0,11,0.5714285714285714
jazz,2017,6.5,8.7,21200,Petrol,Dealer,Manual,0,9,0.7471264367816093
amaze,2014,3.65,7.0,35000,Petrol,Dealer,Manual,0,12,0.5214285714285715
city,2016,8.35,9.4,19434,Diesel,Dealer,Manual,0,10,0.8882978723404255
brio,2017,4.8,5.8,19000,Petrol,Dealer,Manual,0,9,0.8275862068965517
city,2015,6.7,10.0,18828,Petrol,Dealer,Manual,0,11,0.67
city,2011,4.1,10.0,69341,Petrol,Dealer,Manual,0,15,0.41
city,2009,3.0,10.0,69562,Petrol,Dealer,Manual,0,17,0.3
city,2015,7.5,10.0,27600,Petrol,Dealer,Manual,0,11,0.75
jazz,2010,2.25,7.5,61203,Petrol,Dealer,Manual,0,16,0.3
brio,2014,5.3,6.8,16500,Petrol,Dealer,Manual,0,12,0.7794117647058824
city,2016,10.9,13.6,30753,Petrol,Dealer,Automatic,0,10,0.8014705882352942
city,2015,8.65,13.6,24800,Petrol,Dealer,Manual,0,11,0.636029411764706
city,2015,9.7,13.6,21780,Petrol,Dealer,Manual,0,11,0.7132352941176471
jazz,2016,6.0,8.4,4000,Petrol,Dealer,Manual,0,10,0.7142857142857143
city,2014,6.25,13.6,40126,Petrol,Dealer,Manual,0,12,0.4595588235294118
brio,2015,5.25,5.9,14465,Petrol,Dealer,Manual,0,11,0.8898305084745762
city,2006,2.1,7.6,50456,Petrol,Dealer,Manual,0,20,0.27631578947368424
city,2014,8.25,14.0,63000,Diesel,Dealer,Manual,0,12,0.5892857142857143
city,2016,8.99,11.8,9010,Petrol,Dealer,Manual,0,10,0.7618644067796609
brio,2013,3.5,5.9,9800,Petrol,Dealer,Manual,0,13,0.5932203389830508
jazz,2016,7.4,8.5,15059,Petrol,Dealer,Automatic,0,10,0.8705882352941177
jazz,2016,5.65,7.9,28569,Petrol,Dealer,Manual,0,10,0.7151898734177216
amaze,2015,5.75,7.5,44000,Petrol,Dealer,Automatic,0,11,0.7666666666666667
city,2015,8.4,13.6,34000,Petrol,Dealer,Manual,0,11,0.6176470588235294
city,2016,10.11,13.6,10980,Petrol,Dealer,Manual,0,10,0.7433823529411765
amaze,2014,4.5,6.4,19000,Petrol,Dealer,Manual,0,12,0.703125
brio,2015,5.4,6.1,31427,Petrol,Dealer,Manual,0,11,0.8852459016393444
jazz,2016,6.4,8.4,12000,Petrol,Dealer,Manual,0,10,0.7619047619047619
city,2010,3.25,9.9,38000,Petrol,Dealer,Manual,0,16,0.3282828282828283
amaze,2014,3.75,6.8,33019,Petrol,Dealer,Manual,0,12,0.5514705882352942
city,2015,8.55,13.09,60076,Diesel,Dealer,Manual,0,11,0.653170359052712
